iteration,best_fitness,mean_fitness,std_fitness,elapsed_eval,elapsed_update
79,679347.2991852566,699847.8747403413,70916.77844560398,0.009165864000351576,3.0511999739246676e-05
80,679347.2991852566,693068.9872027852,28650.715108500466,0.009733539000080782,6.310100025075371e-05
81,679347.2991852566,693634.3759445144,38372.86846659294,0.009373336999942694,4.156800014243345e-05
82,679303.1015014685,689288.0338105111,22389.94582361232,0.009245764999832318,3.310800002509495e-05
83,679240.4635906924,688228.9045637046,25267.706699632305,0.010006320999764284,3.09409997498733e-05
84,679240.4635906924,690655.1756175187,43653.109669306694,0.009201370000027964,3.481700014162925e-05
85,679134.9148761901,686310.9726064731,14616.468877421612,0.009117994000007457,3.2948999887594255e-05
86,679134.9148761901,689777.8035851626,27018.874079269728,0.009183211000163283,3.092199995080591e-05
87,679132.8297835104,686779.1559247589,30062.553454453893,0.009178235000035784,3.1198000215226784e-05
88,679132.8297835104,684318.8330885987,10043.74945218791,0.009156024000276375,3.006999986610026e-05
89,679110.6693381051,686209.0749639273,21472.253754183173,0.009076190000087081,2.9680999887204962e-05
90,675938.1269227938,685423.6121050449,18203.156684993097,0.010001692000059847,3.576199969756999e-05
91,675298.9968810956,682854.4586169266,7010.768841884419,0.009406496999872616,4.658799980461481e-05
92,674845.0695831946,684766.1850595877,12113.82155313558,0.009546280999984447,4.300299997339607e-05
93,673883.4957107025,681676.9090521777,6740.040261257441,0.009840714999882039,5.6863999816414434e-05
94,673883.4957107025,684027.3717084305,15282.048568730122,0.009353951000321103,4.3092999931104714e-05
95,673883.4957107025,681045.9450477416,7223.089895439196,0.010164965000058146,4.308299958211137e-05
96,673883.4957107025,681954.5748606452,9372.564196323727,0.009304716999849916,3.9108000237320084e-05
97,673772.17910848,679888.5159700605,5236.152296067018,0.009233410999968328,3.728100000444101e-05
98,673772.17910848,679764.9768658142,5682.805149408419,0.009406123000189837,3.267700003561913e-05
99,673544.6440692195,681087.4109674811,10014.711865505826,0.009530776999781665,3.516299966577208e-05
100,673428.83197523,679432.6354352128,9195.331080664362,0.00953939500004708,4.8145999699045205e-05
101,673428.83197523,681082.2770066357,13694.940268455079,0.009427143999801046,3.1287999718188075e-05
102,673428.83197523,680426.0189843421,14830.89277742371,0.009229646000221692,3.35760000780283e-05
103,673314.7455639365,678634.9533771663,5294.872287805416,0.009381395000218617,3.158800018354668e-05
104,673314.7455639365,678328.2717912495,6794.150694871405,0.009252576000108093,3.2407000162493205e-05
