iteration,best_fitness,mean_fitness,std_fitness,elapsed_eval,elapsed_update
0,-2.7053395770832687,-1.766395361335019,0.4309677953021724,0.00021917599951848388,4.953999996359926e-05
1,-3.3852981302659604,-2.2631057431982287,0.4200413328241323,0.00018064799951389432,3.6518000342766754e-05
2,-3.470969696799225,-2.8387919704194347,0.40598684233255844,0.0001747999995131977,2.1177998860366642e-05
3,-3.7105769790507575,-3.150781801084025,0.2915663384910048,0.0001789840007404564,1.671599966357462e-05
4,-3.7579164079275866,-3.351842220734596,0.25196924145318966,0.00017134699919552077,1.6676998711773194e-05
5,-3.806269835935311,-3.5625810485902525,0.1736438612539844,0.00017490599930169992,1.580199932504911e-05
6,-3.839426956645191,-3.637080028836161,0.1734198165046443,0.0002519329991628183,1.45800004247576e-05
7,-3.8509822419643633,-3.672485530646363,0.1397689634049479,0.00017506000040157232,2.721800046856515e-05
8,-3.8509822419643633,-3.667673325063273,0.1367170170961724,0.0001717510003800271,1.8802998965838924e-05
9,-3.8529732271363852,-3.7019701972600387,0.14345897902569882,0.00017491600010544062,1.5610001355526038e-05
10,-3.8701289601084583,-3.7347938395523217,0.1395547392528192,0.00017038599980878644,2.1553001715801656e-05
11,-3.8805461215747963,-3.7474129570430676,0.135192060731658,0.00016886600133148022,1.6214999050134793e-05
12,-3.8827361377291094,-3.7781711141237633,0.13085169267495234,0.00016955800128926057,1.456099926144816e-05
13,-3.883200616545993,-3.7555375423301403,0.1435732870239105,0.00017277099868806545,1.4022998584550805e-05
14,-3.884332244340777,-3.7863605213314746,0.10254246401668297,0.00021299200125213247,1.5042000086396001e-05
15,-3.8853502207541752,-3.7802907151695253,0.10708496978833316,0.0001759350016072858,2.8063999707228504e-05
16,-3.8853502207541752,-3.808191461198673,0.08817375791080549,0.00017675199887889903,1.9253999198554084e-05
17,-3.886849214039297,-3.7896620942570847,0.11928991047356008,0.00020942300034221262,1.6898000467335805e-05
18,-3.886849214039297,-3.801249935173067,0.10110498571576784,0.00017261699940718245,2.4035000024014153e-05
19,-3.886849214039297,-3.812198373448807,0.09920560444647994,0.00017149199993582442,1.7387999832862988e-05
20,-3.886849214039297,-3.8246696531799107,0.07795320750372543,0.00017007800124702044,1.5580999388475902e-05
21,-3.886849214039297,-3.7948084359430334,0.15460632906654856,0.00019336200057296082,1.4109000403550453e-05
22,-3.886849214039297,-3.8299003594391285,0.07804465538391105,0.00017185700016852934,2.363099883950781e-05
23,-3.8868569696629507,-3.8298817950384456,0.08909781364777808,0.00017099199976655655,1.7033000403898768e-05
24,-3.886893045786932,-3.830959115735824,0.08724991590873803,0.0001699620006547775,1.5051999071147293e-05
25,-3.886893045786932,-3.8402525160851297,0.07415146811804108,0.00016855899957590736,1.3867998859495856e-05
26,-3.886893045786932,-3.829680770442836,0.10258403838017237,0.00016912599858187605,1.4945999282645062e-05
27,-3.886893045786932,-3.8462678301278106,0.07885673033919309,0.00016885600052773952,1.5129000530578196e-05
28,-3.886893045786932,-3.853665473286243,0.06697526156446502,0.00016917399989324622,1.395499930367805e-05
29,-3.886893045786932,-3.861737547282764,0.037693636602104924,0.00016862499978742562,1.3503000445780344e-05
30,-3.886910097130696,-3.8495404044712105,0.07916511108487112,0.00019234200044593308,6.337000013445504e-05
31,-3.886910097130696,-3.8520464607904286,0.09362406173685199,0.000171145000422257,2.354400021431502e-05
32,-3.886910097130696,-3.846083048148267,0.15383241858315733,0.00016931800018937793,1.65230012498796e-05
33,-3.886911331940565,-3.8608674831596312,0.07195832805019518,0.00016895199951250106,1.4387000192073174e-05
34,-3.886911331940565,-3.862804092213746,0.06196993017037061,0.00016871200023160782,1.3744000170845538e-05
35,-3.886911331940565,-3.8646146014559157,0.0630362455154578,0.00017439600014768075,1.3406999642029405e-05
36,-3.886915218875245,-3.868716101366583,0.03491918710109117,0.00017482899966125842,2.8516000384115614e-05
37,-3.886915218875245,-3.873355140635234,0.029537780698178407,0.00017075100004149135,1.7744001524988562e-05
