benchmark,strategy,seed,w,c1,c2,n_particles,n_iterations,best_fitness,total_time,stop_reason
sphere_d2,V0_sequential,7,0.7298,1.0,1.0,30,300,3.676343783018524e-13,0.0066346439999733775,tolerance
sphere_d2,V0_sequential,99,0.7298,1.0,1.0,30,300,6.900585010689584e-13,0.00844526999998152,tolerance
sphere_d2,V0_sequential,314,0.7298,1.0,1.0,30,300,8.28549021717256e-13,0.006242526999983511,tolerance
sphere_d2,V0_sequential,42,0.7298,1.0,1.49618,30,300,3.6005886106973347e-13,0.008447271000022738,tolerance
sphere_d2,V0_sequential,123,0.7298,1.0,1.49618,30,300,5.067177977828259e-13,0.008333189000040875,tolerance
sphere_d2,V0_sequential,7,0.7298,1.0,1.49618,30,300,6.213803331009524e-13,0.009090044000004127,tolerance
sphere_d2,V0_sequential,99,0.7298,1.0,1.49618,30,300,7.664713360316525e-13,0.008388400000001184,tolerance
sphere_d2,V0_sequential,314,0.7298,1.0,1.49618,30,300,9.176435548637219e-14,0.009392048999984581,tolerance
sphere_d2,V0_sequential,42,0.7298,1.0,2.0,30,300,7.610764231527797e-13,0.0097341620000293,tolerance
sphere_d2,V0_sequential,123,0.7298,1.0,2.0,30,300,4.10147418979735e-13,0.009613030000025446,tolerance
sphere_d2,V0_sequential,7,0.7298,1.0,2.0,30,300,1.0906205237375013e-13,0.0116051539999944,tolerance
sphere_d2,V0_sequential,99,0.7298,1.0,2.0,30,300,8.62825912380705e-13,0.011573614000042198,tolerance
sphere_d2,V0_sequential,314,0.7298,1.0,2.0,30,300,1.363702519559678e-13,0.011374920000037037,tolerance
sphere_d2,V0_sequential,42,0.7298,1.49618,1.0,30,300,7.703786248335392e-13,0.0073162580000030175,tolerance
sphere_d2,V0_sequential,123,0.7298,1.49618,1.0,30,300,2.285038564728379e-13,0.006846418999998605,tolerance
sphere_d2,V0_sequential,7,0.7298,1.49618,1.0,30,300,5.451064745430712e-13,0.008323387999951137,tolerance
sphere_d2,V0_sequential,99,0.7298,1.49618,1.0,30,300,5.955513545060525e-13,0.01027529800001048,tolerance
sphere_d2,V0_sequential,314,0.7298,1.49618,1.0,30,300,2.921408349679615e-13,0.007618684000021858,tolerance
sphere_d2,V0_sequential,42,0.7298,1.49618,1.49618,30,300,4.3681821475961447e-13,0.009037482999985968,tolerance
sphere_d2,V0_sequential,123,0.7298,1.49618,1.49618,30,300,3.220073090603127e-13,0.0094906770000307,tolerance
sphere_d2,V0_sequential,7,0.7298,1.49618,1.49618,30,300,5.173370419366349e-13,0.00998416099997712,tolerance
sphere_d2,V0_sequential,99,0.7298,1.49618,1.49618,30,300,7.832018647200162e-13,0.010632284999985586,tolerance
sphere_d2,V0_sequential,314,0.7298,1.49618,1.49618,30,300,5.181517542949558e-13,0.00980246800003215,tolerance
sphere_d2,V0_sequential,42,0.7298,1.49618,2.0,30,300,2.2912808144809265e-13,0.0111352449999913,tolerance
sphere_d2,V0_sequential,123,0.7298,1.49618,2.0,30,300,9.933563494783904e-13,0.011448491999999533,tolerance
sphere_d2,V0_sequential,7,0.7298,1.49618,2.0,30,300,9.433351362270144e-13,0.01256312399999615,tolerance
sphere_d2,V0_sequential,99,0.7298,1.49618,2.0,30,300,8.801123586890486e-13,0.011899956000036127,tolerance
sphere_d2,V0_sequential,314,0.7298,1.49618,2.0,30,300,1.8721192586864987e-13,0.011819354000010662,tolerance
sphere_d2,V0_sequential,42,0.7298,2.0,1.0,30,300,5.589244923297809e-13,0.01019148599999653,tolerance
sphere_d2,V0_sequential,123,0.7298,2.0,1.0,30,300,6.501465688584352e-13,0.010799528999996255,tolerance
sphere_d2,V0_sequential,7,0.7298,2.0,1.0,30,300,9.949894894394426e-13,0.011374639999985448,tolerance
sphere_d2,V0_sequential,99,0.7298,2.0,1.0,30,300,2.9400761633000937e-13,0.009784437999996953,tolerance
sphere_d2,V0_sequential,314,0.7298,2.0,1.0,30,300,1.5412530107055787e-13,0.010770957999966413,tolerance
sphere_d2,V0_sequential,42,0.7298,2.0,1.49618,30,300,7.466595578353e-13,0.010758817000009913,tolerance
sphere_d2,V0_sequential,123,0.7298,2.0,1.49618,30,300,3.904693827450191e-13,0.010844058999964545,tolerance
sphere_d2,V0_sequential,7,0.7298,2.0,1.49618,30,300,8.446287659534948e-13,0.012077124000029471,tolerance
sphere_d2,V0_sequential,99,0.7298,2.0,1.49618,30,300,1.5383513910768174e-14,0.01272200799996881,tolerance
sphere_d2,V0_sequential,314,0.7298,2.0,1.49618,30,300,9.005811980357888e-13,0.01261776500001588,tolerance
sphere_d2,V0_sequential,42,0.7298,2.0,2.0,30,300,9.963961184037771e-13,0.017876181000019642,tolerance
sphere_d2,V0_sequential,123,0.7298,2.0,2.0,30,300,1.5517413120379797e-13,0.017950972999983605,tolerance
sphere_d2,V0_sequential,7,0.7298,2.0,2.0,30,300,7.689147676412588e-13,0.014978222999957325,tolerance
sphere_d2,V0_sequential,99,0.7298,2.0,2.0,30,300,9.620984624076533e-13,0.016813734999971075,tolerance
sphere_d2,V0_sequential,314,0.7298,2.0,2.0,30,300,1.9571540847335932e-13,0.01650641000003361,tolerance
sphere_d2,V0_sequential,42,0.9,1.0,1.0,30,300,2.5665288719833985e-14,0.024231508000013946,tolerance
sphere_d2,V0_sequential,123,0.9,1.0,1.0,30,300,1.3285805274572964e-11,0.025017219999995177,max_iterations
sphere_d2,V0_sequential,7,0.9,1.0,1.0,30,300,2.51442331124561e-11,0.024538926999980504,max_iterations
sphere_d2,V0_sequential,99,0.9,1.0,1.0,30,300,1.0195202477900285e-12,0.024713073999976132,max_iterations
sphere_d2,V0_sequential,314,0.9,1.0,1.0,30,300,9.23648742934298e-13,0.02395469499998626,tolerance
sphere_d2,V0_sequential,42,0.9,1.0,1.49618,30,300,4.700744285634755e-05,0.008781773999999132,stagnation
sphere_d2,V0_sequential,123,0.9,1.0,1.49618,30,300,3.114913113924759e-07,0.02456311899999264,max_iterations
sphere_d2,V0_sequential,7,0.9,1.0,1.49618,30,300,1.4035836144726842e-07,0.0247592759999975,max_iterations
sphere_d2,V0_sequential,99,0.9,1.0,1.49618,30,300,2.5237102980985023e-05,0.012534717999983513,stagnation
sphere_d2,V0_sequential,314,0.9,1.0,1.49618,30,300,9.85546576445242e-05,0.010987320999959138,stagnation
sphere_d2,V0_sequential,42,0.9,1.0,2.0,30,300,0.002009617832837831,0.008473573999992823,stagnation
sphere_d2,V0_sequential,123,0.9,1.0,2.0,30,300,0.0001251929357072053,0.012783825999974852,stagnation
sphere_d2,V0_sequential,7,0.9,1.0,2.0,30,300,0.0005360342941960966,0.007506976000001941,stagnation
sphere_d2,V0_sequential,99,0.9,1.0,2.0,30,300,8.374508554973572e-05,0.007898466000028748,stagnation
sphere_d2,V0_sequential,314,0.9,1.0,2.0,30,300,0.0007497329576920268,0.010750801000028787,stagnation
sphere_d2,V0_sequential,42,0.9,1.49618,1.0,30,300,6.381854304424293e-06,0.009077991000026486,stagnation
sphere_d2,V0_sequential,123,0.9,1.49618,1.0,30,300,1.1176120953170564e-11,0.02458662800000866,max_iterations
sphere_d2,V0_sequential,7,0.9,1.49618,1.0,30,300,1.8202700464399672e-09,0.024386705999972946,max_iterations
sphere_d2,V0_sequential,99,0.9,1.49618,1.0,30,300,3.7282892502311342e-06,0.012261107999961496,stagnation
sphere_d2,V0_sequential,314,0.9,1.49618,1.0,30,300,2.72163107624221e-06,0.012562759999980244,stagnation
sphere_d2,V0_sequential,42,0.9,1.49618,1.49618,30,300,8.81564619325657e-05,0.005530494999959501,stagnation
sphere_d2,V0_sequential,123,0.9,1.49618,1.49618,30,300,7.798159303186374e-07,0.012519858000018758,stagnation
sphere_d2,V0_sequential,7,0.9,1.49618,1.49618,30,300,0.0022371697089649334,0.007031184999959805,stagnation
sphere_d2,V0_sequential,99,0.9,1.49618,1.49618,30,300,1.0878926191582283e-05,0.015125174999980118,stagnation
sphere_d2,V0_sequential,314,0.9,1.49618,1.49618,30,300,0.00010004630567536497,0.0066102959999625455,stagnation
sphere_d2,V0_sequential,42,0.9,1.49618,2.0,30,300,0.0007081075227498408,0.005434669999999642,stagnation
sphere_d2,V0_sequential,123,0.9,1.49618,2.0,30,300,7.689164268439107e-06,0.01486681099999032,stagnation
sphere_d2,V0_sequential,7,0.9,1.49618,2.0,30,300,2.7664619736706906e-06,0.015910850000011578,stagnation
sphere_d2,V0_sequential,99,0.9,1.49618,2.0,30,300,0.0020123603801507615,0.004530179999960637,stagnation
sphere_d2,V0_sequential,314,0.9,1.49618,2.0,30,300,7.940175209564825e-05,0.0090112789999921,stagnation
sphere_d2,V0_sequential,42,0.9,2.0,1.0,30,300,4.0056359483816334e-07,0.018469159000005675,stagnation
sphere_d2,V0_sequential,123,0.9,2.0,1.0,30,300,0.0017562613777355766,0.007182488000012199,stagnation
sphere_d2,V0_sequential,7,0.9,2.0,1.0,30,300,0.00014179501333650712,0.007049639000001662,stagnation
sphere_d2,V0_sequential,99,0.9,2.0,1.0,30,300,1.6717334511937948e-05,0.017382106000013664,stagnation
sphere_d2,V0_sequential,314,0.9,2.0,1.0,30,300,4.381521020014151e-06,0.01971250299999383,stagnation
sphere_d2,V0_sequential,42,0.9,2.0,1.49618,30,300,0.0004850689189690373,0.008666054999991957,stagnation
sphere_d2,V0_sequential,123,0.9,2.0,1.49618,30,300,2.85801268671203e-05,0.01536952500003963,stagnation
sphere_d2,V0_sequential,7,0.9,2.0,1.49618,30,300,7.34626149708466e-05,0.008642596000015601,stagnation
sphere_d2,V0_sequential,99,0.9,2.0,1.49618,30,300,9.3284921644288e-05,0.017699361999973462,stagnation
sphere_d2,V0_sequential,314,0.9,2.0,1.49618,30,300,1.0659695040208644e-05,0.008740473999978349,stagnation
sphere_d2,V0_sequential,42,0.9,2.0,2.0,30,300,0.0005926194235433021,0.015636214000039672,stagnation
sphere_d2,V0_sequential,123,0.9,2.0,2.0,30,300,0.0004053954104171401,0.007417780000025687,stagnation
sphere_d2,V0_sequential,7,0.9,2.0,2.0,30,300,0.0007169064683746878,0.00839973199998667,stagnation
sphere_d2,V0_sequential,99,0.9,2.0,2.0,30,300,0.003217143413555142,0.0049575129999652745,stagnation
sphere_d2,V0_sequential,314,0.9,2.0,2.0,30,300,0.0031644595086248195,0.008412180999982866,stagnation
rastrigin_d10,V0_sequential,42,0.4,1.0,1.0,30,300,18.46438605648322,0.03906438999996453,max_iterations
rastrigin_d10,V0_sequential,123,0.4,1.0,1.0,30,300,36.09433651337281,0.03927426799998557,max_iterations
rastrigin_d10,V0_sequential,7,0.4,1.0,1.0,30,300,12.852794342885531,0.04322402500002909,max_iterations
rastrigin_d10,V0_sequential,99,0.4,1.0,1.0,30,300,10.784123647056191,0.03962385900001664,max_iterations
rastrigin_d10,V0_sequential,314,0.4,1.0,1.0,30,300,23.942681238581287,0.038246484000012515,stagnation
rastrigin_d10,V0_sequential,42,0.4,1.0,1.49618,30,300,21.538180114550443,0.04054042699999627,max_iterations
rastrigin_d10,V0_sequential,123,0.4,1.0,1.49618,30,300,34.855602067150045,0.03382032799999024,stagnation
rastrigin_d10,V0_sequential,7,0.4,1.0,1.49618,30,300,27.886987302955447,0.040081434999990506,max_iterations
rastrigin_d10,V0_sequential,99,0.4,1.0,1.49618,30,300,8.955117746568106,0.0295248389999756,stagnation
